event_time,customer_id,country,channel,device,category,action,price,quantity,discount,payment_status,delivery_minutes,rating,returned,revenue
2026-04-01 00:10:00,C00333,Ireland,physical_store,pos_terminal,home,purchase,48.83,2,10,paid,62.0,,False,87.66
2026-04-01 00:15:00,C00207,Germany,web,android,beauty,review,41.95,0,0,not_applicable,,4.0,False,0.0
2026-04-01 00:22:00,C00654,Germany,physical_store,pos_terminal,fashion,add_to_cart,30.89,0,0,not_applicable,,,False,0.0
2026-04-01 00:55:00,C00659,Ireland,physical_store,pos_terminal,grocery,return,11.86,1,0,not_applicable,,,True,11.86
2026-04-01 01:01:00,C00854,Sweden,web,android,grocery,purchase,15.87,1,10,paid,44.0,,False,5.87
2026-04-01 01:11:00,C00550,Germany,physical_store,pos_terminal,electronics,view,97.2,0,0,not_applicable,,,False,0.0
2026-04-01 01:13:00,C00172,Sweden,web,android,sports,purchase,149.44,2,0,paid,29.0,,False,298.88
2026-04-01 01:25:00,C00893,Germany,mobile_app,ios,fashion,view,77.51,0,0,not_applicable,,,False,0.0
2026-04-01 01:46:00,C00130,Germany,mobile_app,desktop,beauty,view,15.06,0,0,not_applicable,,,False,0.0
2026-04-01 01:47:00,C00313,United Kingdom,physical_store,pos_terminal,books,add_to_cart,12.61,0,0,not_applicable,,,False,0.0
2026-04-01 02:06:00,C00570,Germany,web,desktop,home,view,75.05,0,0,not_applicable,,,False,0.0
2026-04-01 02:13:00,C00281,Ireland,physical_store,pos_terminal,electronics,purchase,120.35,1,20,paid,33.0,,False,100.35
2026-04-01 02:14:00,C00370,Germany,partner_marketplace,android,books,view,20.17,0,0,not_applicable,,,False,0.0
2026-04-01 02:17:00,C00637,Netherlands,mobile_app,desktop,fashion,review,27.71,0,0,not_applicable,,5.0,False,0.0
2026-04-01 02:18:00,C00410,France,mobile_app,desktop,home,purchase,41.97,2,30,paid,41.0,,False,53.94
2026-04-01 02:35:00,C00203,Germany,mobile_app,desktop,fashion,add_to_cart,38.24,0,0,not_applicable,,,False,0.0
2026-04-01 02:39:00,C00554,Netherlands,mobile_app,android,fashion,purchase,39.05,1,10,paid,56.0,,False,29.05
2026-04-01 02:43:00,C00803,Netherlands,mobile_app,desktop,home,view,97.14,0,0,not_applicable,,,False,0.0
2026-04-01 03:03:00,C00841,Sweden,mobile_app,android,sports,view,90.98,0,0,not_applicable,,,False,0.0
2026-04-01 03:04:00,C00876,Germany,web,desktop,electronics,view,132.19,0,0,not_applicable,,,False,0.0
2026-04-01 03:13:00,C00328,Germany,partner_marketplace,ios,grocery,review,8.17,0,0,not_applicable,,5.0,False,0.0
2026-04-01 03:19:00,C00773,Sweden,mobile_app,android,beauty,view,21.03,0,0,not_applicable,,,False,0.0
